Date,Open,High,Low,Close ,Adj Close ,Volume
3-Mar-22,292.92,295.48,277.53,279.76,279.76,"61,623,600"
2-Mar-22,290.71,295.49,281.42,293.3,293.3,"74,643,300"
1-Mar-22,289.89,296.63,284.59,288.12,288.12,"74,766,900"
28-Feb-22,271.67,292.29,271.57,290.14,290.14,"99,006,900"
25-Feb-22,269.74,273.17,260.8,269.96,269.96,"76,067,700"
24-Feb-22,233.46,267.49,233.33,266.92,266.92,"135,322,200"
23-Feb-22,276.81,278.43,253.52,254.68,254.68,"95,256,900"
22-Feb-22,278.04,285.58,267.03,273.84,273.84,"83,288,100"
18-Feb-22,295.33,295.62,279.2,285.66,285.66,"68,501,700"
17-Feb-22,304.42,306.17,291.37,292.12,292.12,"55,178,400"
16-Feb-22,304.68,308.81,300.4,307.8,307.8,"51,294,300"
15-Feb-22,300,307.67,297.79,307.48,307.48,"57,286,200"
14-Feb-22,287.19,299.63,284.38,291.92,291.92,"67,756,500"
11-Feb-22,303.21,305.32,283.57,286.67,286.67,"79,645,800"
10-Feb-22,302.79,314.6,298.9,301.52,301.52,"66,126,900"
9-Feb-22,311.67,315.42,306.67,310.67,310.67,"52,259,400"
8-Feb-22,301.84,308.76,298.27,307.33,307.33,"50,729,100"
7-Feb-22,307.93,315.92,300.9,302.45,302.45,"60,994,500"
4-Feb-22,299.07,312.17,293.72,307.77,307.77,"73,625,400"
3-Feb-22,294,312.33,293.51,297.05,297.05,"78,855,600"
2-Feb-22,309.39,310.5,296.47,301.89,301.89,"66,792,900"
1-Feb-22,311.74,314.57,301.67,310.42,310.42,"73,138,200"
31-Jan-22,290.9,312.66,287.35,312.24,312.24,"104,436,000"
28-Jan-22,277.19,285.83,264,282.12,282.12,"134,789,100"
27-Jan-22,311.12,311.8,276.33,276.37,276.37,"147,109,500"
26-Jan-22,317.48,329.23,302,312.47,312.47,"104,867,400"
25-Jan-22,304.73,317.09,301.07,306.13,306.13,"86,595,900"
24-Jan-22,301.59,311.17,283.82,310,310,"151,565,700"
21-Jan-22,332.11,334.85,313.5,314.63,314.63,"103,416,000"
20-Jan-22,336.58,347.22,331.33,332.09,332.09,"70,488,600"
19-Jan-22,347.24,351.56,331.67,331.88,331.88,"75,442,500"
18-Jan-22,342.2,356.93,338.69,343.5,343.5,"66,743,400"
14-Jan-22,339.96,350.67,337.79,349.87,349.87,"72,924,300"
13-Jan-22,369.69,371.87,342.18,343.85,343.85,"97,209,900"
12-Jan-22,359.62,371.61,357.53,368.74,368.74,"83,739,000"
11-Jan-22,351.22,358.62,346.27,354.8,354.8,"66,063,300"
10-Jan-22,333.33,353.03,326.67,352.71,352.71,"91,815,000"
7-Jan-22,360.12,360.31,336.67,342.32,342.32,"84,164,700"
6-Jan-22,359,362.67,340.17,354.9,354.9,"90,336,600"
5-Jan-22,382.22,390.11,360.34,362.71,362.71,"80,119,800"
4-Jan-22,396.52,402.67,374.35,383.2,383.2,"100,248,300"
3-Jan-22,382.58,400.36,378.68,399.93,399.93,"103,931,400"
31-Dec-21,357.81,360.67,351.53,352.26,352.26,"40,733,700"
30-Dec-21,353.78,365.18,351.05,356.78,356.78,"47,040,900"
29-Dec-21,366.21,368,354.71,362.06,362.06,"56,154,000"
28-Dec-21,369.83,373,359.47,362.82,362.82,"60,324,000"
27-Dec-21,357.89,372.33,356.91,364.65,364.65,"71,145,900"
23-Dec-21,335.6,357.66,332.52,355.67,355.67,"92,713,200"
22-Dec-21,321.89,338.55,319.02,336.29,336.29,"93,634,200"
21-Dec-21,305.62,313.17,295.37,312.84,312.84,"71,517,900"
20-Dec-21,303.57,307.23,297.8,299.98,299.98,"56,480,100"
17-Dec-21,304.92,320.22,303.01,310.86,310.86,"100,437,300"
16-Dec-21,331.5,331.66,307.28,308.97,308.97,"82,771,500"
15-Dec-21,317.74,326.25,309.42,325.33,325.33,"75,169,200"
14-Dec-21,315,322.14,310,319.5,319.5,"70,806,300"
13-Dec-21,333.7,335,317.14,322.14,322.14,"78,595,500"
10-Dec-21,336.25,340.33,327.51,339.01,339.01,"59,664,300"
9-Dec-21,353.55,354.16,334.12,334.6,334.6,"59,438,400"
8-Dec-21,350.9,357.46,344.33,356.32,356.32,"41,906,400"
7-Dec-21,348.07,352.56,342.27,350.58,350.58,"56,084,700"
6-Dec-21,333.84,340.55,316.83,336.34,336.34,"81,663,000"
3-Dec-21,361.6,363.53,333.4,338.32,338.32,"92,322,000"
2-Dec-21,366.35,371,352.22,361.53,361.53,"73,114,800"
1-Dec-21,386.9,390.95,363.59,365,365,"68,450,400"
30-Nov-21,381.46,389.33,372.67,381.59,381.59,"81,276,000"
29-Nov-21,367,380.89,366.73,379,379,"58,393,500"
26-Nov-21,366.49,369.59,360.33,360.64,360.64,"35,042,700"
24-Nov-21,360.13,377.59,354,372,372,"67,680,600"
